id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,,,,,,,,,,
479472,"BOUTIQUE STAYS - Sandyside 2, Pet Friendly unit",Bayside,-37.9523109848364,145.011726085943,Entire home/apt,305,5,,,,,,,,,,
479736,Belsize Garden Apartment St Kilda,Port Phillip,-37.8694679782175,144.996431585189,Entire home/apt,120,2,,,,,,,,,,
483719,Quiet Studio Next to Train Station,Banyule,-37.7420861994339,145.065408188665,Private room,60,1,,,,,,,,,,
488819,Brunswick St at your doorstep,Yarra,-37.803062753665,144.976703228528,Entire home/apt,150,4,,,,,,,,,,
491993,Smart Caulfield Townhouse,Glen Eira,-37.8971571890899,145.030502343445,Entire home/apt,174,3,,,,,,,,,,
492012,Bay Views Port Melbourne,Port Phillip,-37.8410277077506,144.937913439828,Entire home/apt,195,3,,,,,,,,,,
492071,"BOUTIQUE STAYS - Sandy Haven C, Pet Friendly",Bayside,-37.9488921297909,145.004046911024,Entire home/apt,375,5,,,,,,,,,,
496502,Budget-friendly double room,Moreland,-37.7557094315545,144.971727096083,Private room,30,2,,,,,,,,,,
501143,Beautiful Little House In St. Kilda,Port Phillip,-37.8656915100252,144.978800118819,Private room,120,2,,,,,,,,,,
506491,"Relax! Private, Stylish Loft & Spa!",Whitehorse,-37.8432976651383,145.135549982859,Private room,78,2,,,,,,,,,,
508586,Beautiful Ensuite - convenient & private room,Boroondara,-37.7936261674836,145.084709205358,Private room,46,1,,,,,,,,,,
508590,"Sunlit, Cosy Room in Convenient Location",Boroondara,-37.7939968868136,145.083504559139,Private room,40,1,,,,,,,,,,
508594,"Large room - Convenient, Private & Cosy location",Boroondara,-37.7954577379853,145.083451659419,Private room,40,1,,,,,,,,,,
509326,home away from home,Whittlesea,-37.6827338794565,145.028371111915,Private room,114,1,,,,,,,,,,
513766,Guest room in a big house,Casey,-38.0686532111585,145.33426782974,Private room,71,1,,,,,,,,,,
515607,Quiet modern home 1,Wyndham,-37.888576190079,144.636988485138,Private room,30,2,,,,,,,,,,
519819,Funky Paris end of Collins Street apartment,Melbourne,-37.8145608621513,144.974002748722,Entire home/apt,168,2,,,,,,,,,,
524247,Mitford Street Elwood Lifestyle,Port Phillip,-37.8765204937324,144.983982491519,Entire home/apt,221,3,,,,,,,,,,
524570,Private En suite room in  Yarra Glen Town house,Yarra Ranges,-37.6551688351609,145.375508925184,Private room,80,1,,,,,,,,,,
529300,St Kilda 1 Bedroom Apartment,Port Phillip,-37.8630965471613,144.983918929587,Entire home/apt,93,1,,,,,,,,,,
529321,St Kilda Studio in Redan St,Port Phillip,-37.8595680990778,144.989179212095,Entire home/apt,62,1,,,,,,,,,,
529339,Luxury Penthouse Near StKilda & CBD,Port Phillip,-37.8469950394988,144.962135774114,Private room,180,3,,,,,,,,,,
531324,Home away from home 欢迎回家,Darebin,-37.7295414388811,145.029145435934,Private room,71,1,,,,,,,,,,
532347,B&B Guest House with Pool Room 1,Glen Eira,-37.8924804857733,145.075464010183,Private room,72,2,,,,,,,,,,
535813,Smart Artz Gallery - Venue Hire,Melbourne,-37.8140827382101,144.969333569338,Private room,1650,1,,,,,,,,,,
542188,Oberon Stylish Art Deco,Port Phillip,-37.872119410833,144.983129352235,Entire home/apt,138,1,,,,,,,,,,
546849,Private Room with Courtyard 5/45,Stonnington,-37.8835125899077,145.061026716218,Private room,40,3,,,,,,,,,,
552797,Stylish Fitzroy Apartment with Cool Brick Arches,Yarra,-37.8045320242553,144.977925589829,Entire home/apt,109,2,,,,,,,,,,
554087,"Fabulous house, fabulous ST KILDA",Port Phillip,-37.8574209206498,144.97478016487,Private room,125,2,,,,,,,,,,
556080,Fitzroy Terrace close to Gertrude S,Yarra,-37.805157910825,144.982312472311,Entire home/apt,245,2,,,,,,,,,,
557900,Look out over the CBD from a Boutique Flat,Melbourne,-37.8175183019089,144.965227477551,Entire home/apt,190,3,,,,,,,,,,
564734,Executive Elwood Apartment,Port Phillip,-37.8823163363339,144.984726688593,Entire home/apt,174,3,,,,,,,,,,
565813,Bright & spacious home stay,Port Phillip,-37.8640948993866,145.002352218339,Private room,54,4,,,,,,,,,,
567486,Spacious modern studio,Boroondara,-37.8343962868077,145.034878778154,Private room,75,6,,,,,,,,,,
567514,Convenient Location,Boroondara,-37.8595763190138,145.081040911352,Private room,40,1,,,,,,,,,,
567941,"Elegant Victorian, Spacious Room",Yarra,-37.8020072353287,144.987568977788,Private room,84,1,,,,,,,,,,
571502,Simple but clean and secure room in Carlton!,Melbourne,-37.8068564420902,144.966711191947,Private room,80,3,,,,,,,,,,
591772,HEART of CBD - Location with Quality,Melbourne,-37.8112830872899,144.961975336319,Private room,65,3,,,,,,,,,,
592162,Right in the heart of the City!,Melbourne,-37.8168897805789,144.953715359356,Entire home/apt,161,4,,,,,,,,,,
607674,Edna Walling Cottage (Heritage),Yarra Ranges,-37.8838783064857,145.361844313975,Entire home/apt,168,2,,,,,,,,,,
609602,Spacious rm for you or couple 3/43,Stonnington,-37.8833280928904,145.062408176698,Private room,50,7,,,,,,,,,,
614259,Stylish South Yarra Apartment,Stonnington,-37.8393953456053,144.996070579548,Entire home/apt,80,3,,,,,,,,,,
619328,Fitzroy - Queen room in great house,Yarra,-37.8060485118107,144.980789231244,Private room,120,2,,,,,,,,,,
619363,Fitzroy Terrace - Room for one or two guests,Yarra,-37.8044460327704,144.980560734635,Private room,84,2,,,,,,,,,,
621155,Picture Perfect Oasis Richmond,Yarra,-37.8214806625251,144.99428654599,Entire home/apt,105,14,,,,,,,,,,
624205,2 Bedroom Apartment MT267,Melbourne,-37.8232996752148,144.963032458012,Entire home/apt,230,3,,,,,,,,,,
628156,"QS bed & PRIVATE bathroom, Gr8 WiFi, TV & Netflix",Port Phillip,-37.8418113767266,144.937593394013,Private room,65,3,,,,,,,,,,
628370,Close to Beach and City - Sleeps 4,Port Phillip,-37.8418845221688,144.942528390675,Entire home/apt,174,20,,,,,,,,,,
633258,Hip sun drenched Windsor apartment,Stonnington,-37.855131206748,144.99451277507,Entire home/apt,73,3,,,,,,,,,,
633546,Sunny Central Space for 3!,Hobsons Bay,-37.828737183993,144.878609301014,Private room,80,2,,,,,,,,,,
639260,Fitzroy pad with secure Parking,Yarra,-37.8017334337336,144.97536503137,Entire home/apt,161,2,,,,,,,,,,
641180,Cosy Inner City Studio Eco-Apartment,Moreland,-37.7759346212315,144.969275949997,Entire home/apt,89,3,,,,,,,,,,
